<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.GOLD,D,20090706,000000,931.09998,931.09998,921.50000,924.79999
SPFB.GOLD,D,20090707,000000,924.59998,934.00000,922.09998,925.09998
SPFB.GOLD,D,20090708,000000,923.70001,926.00000,906.00000,911.50000
SPFB.GOLD,D,20090709,000000,914.70001,918.79999,911.70001,913.29999
SPFB.GOLD,D,20090710,000000,913.20001,914.00000,907.20001,913.90002
SPFB.GOLD,D,20090713,000000,909.90002,924.00000,908.00000,921.00000
SPFB.GOLD,D,20090714,000000,920.70001,926.50000,920.20001,924.50000
SPFB.GOLD,D,20090715,000000,925.20001,941.70001,925.20001,939.50000
SPFB.GOLD,D,20090716,000000,938.00000,939.59998,933.50000,937.50000
SPFB.GOLD,D,20090717,000000,936.40002,939.09998,931.29999,934.40002
SPFB.GOLD,D,20090720,000000,943.00000,959.79999,943.00000,949.00000
SPFB.GOLD,D,20090721,000000,949.00000,954.00000,943.90002,946.00000
SPFB.GOLD,D,20090722,000000,948.40002,954.70001,945.00000,950.50000
SPFB.GOLD,D,20090723,000000,953.90002,959.70001,949.09998,951.09998
SPFB.GOLD,D,20090724,000000,949.70001,954.90002,948.20001,952.00000
SPFB.GOLD,D,20090727,000000,954.00000,959.29999,951.90002,953.29999
SPFB.GOLD,D,20090728,000000,955.00000,957.00000,935.70001,937.50000
SPFB.GOLD,D,20090729,000000,938.29999,938.29999,926.50000,929.20001
SPFB.GOLD,D,20090730,000000,931.00000,938.00000,930.29999,934.29999
SPFB.GOLD,D,20090731,000000,938.00000,959.70001,931.09998,954.40002
SPFB.GOLD,D,20090803,000000,954.00000,964.00000,952.50000,957.59998
SPFB.GOLD,D,20090804,000000,956.50000,970.00000,952.20001,965.59998
SPFB.GOLD,D,20090805,000000,963.50000,967.29999,959.79999,967.09998
SPFB.GOLD,D,20090806,000000,964.50000,971.90002,957.29999,965.00000
SPFB.GOLD,D,20090807,000000,962.00000,964.20001,952.29999,955.00000
SPFB.GOLD,D,20090810,000000,954.40002,956.20001,944.00000,946.29999
SPFB.GOLD,D,20090811,000000,950.00000,950.00000,940.00000,947.29999
SPFB.GOLD,D,20090812,000000,945.40002,953.00000,940.00000,943.50000
SPFB.GOLD,D,20090813,000000,952.20001,959.59998,951.50000,953.00000
SPFB.GOLD,D,20090814,000000,953.50000,959.59998,942.50000,947.70001
SPFB.GOLD,D,20090817,000000,942.00000,943.40002,929.50000,935.00000
SPFB.GOLD,D,20090818,000000,935.59998,939.40002,934.20001,938.00000
SPFB.GOLD,D,20090819,000000,937.50000,944.40002,932.00000,941.20001
SPFB.GOLD,D,20090820,000000,943.50000,944.09998,937.79999,940.40002
SPFB.GOLD,D,20090821,000000,940.00000,957.59998,938.50000,953.79999
SPFB.GOLD,D,20090824,000000,953.29999,957.50000,935.00000,941.29999
SPFB.GOLD,D,20090825,000000,941.00000,954.70001,941.00000,944.50000
SPFB.GOLD,D,20090826,000000,947.40002,950.00000,941.00000,944.50000
SPFB.GOLD,D,20090827,000000,945.70001,950.00000,941.00000,949.29999
SPFB.GOLD,D,20090828,000000,950.00000,963.90002,949.59998,955.50000
SPFB.GOLD,D,20090831,000000,954.59998,955.09998,943.50000,951.00000
SPFB.GOLD,D,20090901,000000,954.70001,957.70001,945.90002,954.50000
SPFB.GOLD,D,20090902,000000,955.00000,980.00000,953.09998,979.29999
SPFB.GOLD,D,20090903,000000,978.00000,998.00000,976.59998,993.59998
SPFB.GOLD,D,20090904,000000,992.90002,999.70001,985.09998,996.00000
SPFB.GOLD,D,20090907,000000,995.09998,999.59998,993.79999,994.90002
SPFB.GOLD,D,20090908,000000,997.70001,1019.00000,997.00000,997.70001
SPFB.GOLD,D,20090909,000000,1002.20001,1005.00000,989.59998,995.90002
SPFB.GOLD,D,20090910,000000,999.50000,1005.00000,990.20001,1001.00000
SPFB.GOLD,D,20090911,000000,1005.00000,1018.50000,1005.00000,1014.00000
SPFB.GOLD,D,20090914,000000,1008.29999,1011.09998,1001.09998,1004.20001
SPFB.GOLD,D,20090915,000000,1004.00000,1016.20001,998.09998,1013.50000
SPFB.GOLD,D,20090916,000000,1018.29999,1039.80005,1018.29999,1024.90002
SPFB.GOLD,D,20090917,000000,1028.69995,1034.80005,1012.09998,1020.09998
SPFB.GOLD,D,20090918,000000,1019.29999,1023.20001,1013.50000,1014.20001
SPFB.GOLD,D,20090921,000000,1010.00000,1011.29999,1001.90002,1009.40002
SPFB.GOLD,D,20090922,000000,1011.09998,1026.00000,1011.09998,1020.20001
SPFB.GOLD,D,20090923,000000,1020.20001,1022.59998,1012.00000,1015.59998
SPFB.GOLD,D,20090924,000000,1018.09998,1021.79999,994.40002,997.09998
SPFB.GOLD,D,20090925,000000,995.40002,1003.20001,990.09998,994.09998
SPFB.GOLD,D,20090928,000000,993.00000,1000.00000,989.09998,993.90002
SPFB.GOLD,D,20090929,000000,995.00000,998.90002,988.40002,996.00000
SPFB.GOLD,D,20090930,000000,997.40002,1012.59998,997.40002,1008.50000
SPFB.GOLD,D,20091001,000000,1011.00000,1013.09998,1000.50000,1002.79999
SPFB.GOLD,D,20091002,000000,1003.59998,1011.00000,990.00000,1006.09998
SPFB.GOLD,D,20091005,000000,1005.50000,1020.00000,1005.00000,1017.79999
SPFB.GOLD,D,20091006,000000,1019.59998,1046.59998,1019.59998,1043.59998
SPFB.GOLD,D,20091007,000000,1044.30005,1051.30005,1041.59998,1045.40002
SPFB.GOLD,D,20091008,000000,1047.00000,1064.50000,1046.19995,1059.90002
SPFB.GOLD,D,20091009,000000,1056.50000,1056.50000,1047.30005,1052.00000
SPFB.GOLD,D,20091012,000000,1052.90002,1063.80005,1052.19995,1059.90002
SPFB.GOLD,D,20091013,000000,1059.00000,1071.50000,1057.09998,1064.50000
SPFB.GOLD,D,20091014,000000,1068.50000,1074.90002,1059.30005,1064.09998
SPFB.GOLD,D,20091015,000000,1064.50000,1065.30005,1049.09998,1049.90002
SPFB.GOLD,D,20091016,000000,1050.90002,1060.00000,1046.80005,1056.59998
SPFB.GOLD,D,20091019,000000,1055.40002,1071.00000,1051.19995,1065.30005
SPFB.GOLD,D,20091020,000000,1067.69995,1072.19995,1055.00000,1058.30005
SPFB.GOLD,D,20091021,000000,1057.50000,1066.59998,1050.09998,1060.19995
SPFB.GOLD,D,20091022,000000,1060.19995,1064.00000,1053.50000,1062.09998
SPFB.GOLD,D,20091023,000000,1063.30005,1070.00000,1050.00000,1057.00000
SPFB.GOLD,D,20091026,000000,1056.59998,1062.09998,1040.30005,1040.50000
SPFB.GOLD,D,20091027,000000,1042.59998,1045.09998,1032.80005,1041.30005
SPFB.GOLD,D,20091028,000000,1041.50000,1041.50000,1028.59998,1030.50000
SPFB.GOLD,D,20091029,000000,1033.09998,1049.69995,1033.09998,1049.69995
SPFB.GOLD,D,20091030,000000,1048.59998,1049.00000,1037.19995,1046.59998
SPFB.GOLD,D,20091102,000000,1048.00000,1065.50000,1047.50000,1060.19995
SPFB.GOLD,D,20091103,000000,1062.00000,1090.40002,1058.40002,1087.50000
SPFB.GOLD,D,20091105,000000,1087.00000,1096.09998,1085.59998,1092.00000
SPFB.GOLD,D,20091106,000000,1093.00000,1104.80005,1089.40002,1104.80005
SPFB.GOLD,D,20091109,000000,1104.90002,1114.09998,1104.00000,1106.00000
SPFB.GOLD,D,20091110,000000,1105.00000,1113.00000,1100.19995,1107.00000
SPFB.GOLD,D,20091111,000000,1110.90002,1120.09998,1108.19995,1118.00000
SPFB.GOLD,D,20091112,000000,1120.00000,1122.80005,1105.00000,1106.90002
SPFB.GOLD,D,20091113,000000,1107.00000,1122.00000,1104.50000,1121.90002
SPFB.GOLD,D,20091116,000000,1122.09998,1144.00000,1122.09998,1139.80005
SPFB.GOLD,D,20091117,000000,1139.00000,1143.19995,1129.30005,1143.09998
SPFB.GOLD,D,20091118,000000,1141.00000,1153.80005,1140.80005,1146.19995
SPFB.GOLD,D,20091119,000000,1146.80005,1147.59998,1132.59998,1146.30005
SPFB.GOLD,D,20091120,000000,1147.59998,1152.40002,1134.50000,1150.50000
SPFB.GOLD,D,20091123,000000,1152.90002,1176.00000,1152.90002,1168.30005
SPFB.GOLD,D,20091124,000000,1167.00000,1173.00000,1165.19995,1170.80005
