<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.Si,D,20071116,000000,24516.00000,24579.00000,24510.00000,24530.00000
SPFB.Si,D,20071119,000000,24505.00000,24549.00000,24495.00000,24502.00000
SPFB.Si,D,20071120,000000,24479.00000,24479.00000,24368.00000,24385.00000
SPFB.Si,D,20071121,000000,24350.00000,24384.00000,24320.00000,24338.00000
SPFB.Si,D,20071122,000000,24340.00000,24361.00000,24332.00000,24335.00000
SPFB.Si,D,20071123,000000,24287.00000,24388.00000,24270.00000,24378.00000
SPFB.Si,D,20071126,000000,24360.00000,24360.00000,24300.00000,24330.00000
SPFB.Si,D,20071127,000000,24329.00000,24350.00000,24275.00000,24290.00000
SPFB.Si,D,20071128,000000,24355.00000,24445.00000,24355.00000,24395.00000
SPFB.Si,D,20071129,000000,24369.00000,24443.00000,24344.00000,24418.00000
SPFB.Si,D,20071130,000000,24433.00000,24442.00000,24382.00000,24390.00000
SPFB.Si,D,20071203,000000,24445.00000,24509.00000,24444.00000,24479.00000
SPFB.Si,D,20071204,000000,24475.00000,24513.00000,24395.00000,24412.00000
SPFB.Si,D,20071205,000000,24416.00000,24489.00000,24408.00000,24487.00000
SPFB.Si,D,20071206,000000,24545.00000,24598.00000,24502.00000,24502.00000
SPFB.Si,D,20071207,000000,24525.00000,24533.00000,24476.00000,24490.00000
SPFB.Si,D,20071210,000000,24531.00000,24531.00000,24445.00000,24445.00000
SPFB.Si,D,20071211,000000,24451.00000,24500.00000,24451.00000,24451.00000
SPFB.Si,D,20071212,000000,24452.00000,24488.00000,24451.00000,24488.00000
SPFB.Si,D,20071213,000000,24471.00000,24507.00000,24468.00000,24495.00000
SPFB.Si,D,20071214,000000,24520.00000,24680.00000,24520.00000,24660.00000
SPFB.Si,D,20071217,000000,24719.00000,24810.00000,24718.00000,24770.00000
SPFB.Si,D,20071218,000000,24760.00000,24780.00000,24727.00000,24739.00000
SPFB.Si,D,20071219,000000,24770.00000,24775.00000,24734.00000,24760.00000
SPFB.Si,D,20071220,000000,24777.00000,24839.00000,24769.00000,24789.00000
SPFB.Si,D,20071221,000000,24735.00000,24777.00000,24735.00000,24742.00000
SPFB.Si,D,20071224,000000,24757.00000,24762.00000,24725.00000,24733.00000
SPFB.Si,D,20071225,000000,24750.00000,24763.00000,24733.00000,24733.00000
SPFB.Si,D,20071226,000000,24734.00000,24734.00000,24674.00000,24679.00000
SPFB.Si,D,20071227,000000,24665.00000,24719.00000,24655.00000,24675.00000
SPFB.Si,D,20071228,000000,24570.00000,24575.00000,24501.00000,24515.00000
SPFB.Si,D,20080109,000000,24485.00000,24488.00000,24435.00000,24475.00000
SPFB.Si,D,20080110,000000,24477.00000,24491.00000,24399.00000,24415.00000
SPFB.Si,D,20080111,000000,24375.00000,24396.00000,24352.00000,24372.00000
SPFB.Si,D,20080114,000000,24395.00000,24395.00000,24252.00000,24260.00000
SPFB.Si,D,20080115,000000,24268.00000,24322.00000,24242.00000,24245.00000
SPFB.Si,D,20080116,000000,24336.00000,24382.00000,24320.00000,24348.00000
SPFB.Si,D,20080117,000000,24436.00000,24530.00000,24436.00000,24465.00000
SPFB.Si,D,20080118,000000,24501.00000,24526.00000,24467.00000,24490.00000
SPFB.Si,D,20080121,000000,24639.00000,24825.00000,24632.00000,24745.00000
SPFB.Si,D,20080122,000000,24911.00000,24964.00000,24678.00000,24722.00000
SPFB.Si,D,20080123,000000,24678.00000,24815.00000,24657.00000,24756.00000
SPFB.Si,D,20080124,000000,24689.00000,24689.00000,24557.00000,24565.00000
SPFB.Si,D,20080125,000000,24480.00000,24571.00000,24458.00000,24535.00000
SPFB.Si,D,20080128,000000,24642.00000,24642.00000,24514.00000,24514.00000
SPFB.Si,D,20080129,000000,24501.00000,24550.00000,24501.00000,24548.00000
SPFB.Si,D,20080130,000000,24520.00000,24540.00000,24498.00000,24518.00000
SPFB.Si,D,20080131,000000,24473.00000,24525.00000,24460.00000,24505.00000
SPFB.Si,D,20080201,000000,24475.00000,24503.00000,24427.00000,24500.00000
SPFB.Si,D,20080204,000000,24500.00000,24577.00000,24500.00000,24560.00000
SPFB.Si,D,20080205,000000,24564.00000,24673.00000,24555.00000,24663.00000
SPFB.Si,D,20080206,000000,24691.00000,24750.00000,24658.00000,24686.00000
SPFB.Si,D,20080207,000000,24689.00000,24820.00000,24651.00000,24783.00000
SPFB.Si,D,20080208,000000,24826.00000,24833.00000,24776.00000,24803.00000
SPFB.Si,D,20080211,000000,24737.00000,24753.00000,24688.00000,24745.00000
SPFB.Si,D,20080212,000000,24704.00000,24744.00000,24659.00000,24680.00000
SPFB.Si,D,20080213,000000,24709.00000,24743.00000,24690.00000,24743.00000
SPFB.Si,D,20080214,000000,24712.00000,24712.00000,24645.00000,24702.00000
SPFB.Si,D,20080215,000000,24636.00000,24638.00000,24605.00000,24626.00000
SPFB.Si,D,20080218,000000,24619.00000,24668.00000,24619.00000,24620.00000
SPFB.Si,D,20080219,000000,24575.00000,24594.00000,24555.00000,24580.00000
SPFB.Si,D,20080220,000000,24585.00000,24683.00000,24585.00000,24658.00000
SPFB.Si,D,20080221,000000,24573.00000,24607.00000,24560.00000,24581.00000
SPFB.Si,D,20080222,000000,24500.00000,24520.00000,24449.00000,24476.00000
SPFB.Si,D,20080226,000000,24488.00000,24495.00000,24356.00000,24381.00000
SPFB.Si,D,20080227,000000,24227.00000,24243.00000,24153.00000,24159.00000
SPFB.Si,D,20080228,000000,24156.00000,24159.00000,24068.00000,24080.00000
SPFB.Si,D,20080229,000000,24035.00000,24070.00000,24010.00000,24046.00000
SPFB.Si,D,20080303,000000,24015.00000,24100.00000,23978.00000,23978.00000
SPFB.Si,D,20080304,000000,24063.00000,24074.00000,24013.00000,24020.00000
SPFB.Si,D,20080305,000000,24054.00000,24079.00000,23979.00000,23991.00000
SPFB.Si,D,20080306,000000,23957.00000,23957.00000,23852.00000,23869.00000
SPFB.Si,D,20080307,000000,23832.00000,23880.00000,23788.00000,23865.00000
SPFB.Si,D,20080311,000000,24042.00000,24099.00000,23948.00000,24099.00000
SPFB.Si,D,20080312,000000,24020.00000,24029.00000,23920.00000,23958.00000
SPFB.Si,D,20080313,000000,23865.00000,23875.00000,23828.00000,23850.00000
SPFB.Si,D,20080314,000000,23836.00000,23870.00000,23770.00000,23784.00000
SPFB.Si,D,20080317,000000,23720.00000,23772.00000,23680.00000,23720.00000
SPFB.Si,D,20080318,000000,23730.00000,23746.00000,23667.00000,23690.00000
SPFB.Si,D,20080319,000000,23752.00000,23775.00000,23670.00000,23736.00000
SPFB.Si,D,20080320,000000,23848.00000,24028.00000,23848.00000,23982.00000
SPFB.Si,D,20080321,000000,23972.00000,23980.00000,23946.00000,23979.00000
SPFB.Si,D,20080324,000000,24050.00000,24050.00000,23960.00000,24036.00000
SPFB.Si,D,20080325,000000,23876.00000,23880.00000,23803.00000,23819.00000
SPFB.Si,D,20080326,000000,23810.00000,23812.00000,23685.00000,23700.00000
SPFB.Si,D,20080327,000000,23640.00000,23703.00000,23610.00000,23672.00000
SPFB.Si,D,20080328,000000,23618.00000,23694.00000,23604.00000,23672.00000
SPFB.Si,D,20080331,000000,23666.00000,23666.00000,23608.00000,23620.00000
SPFB.Si,D,20080401,000000,23712.00000,23763.00000,23700.00000,23740.00000
SPFB.Si,D,20080402,000000,23784.00000,23804.00000,23704.00000,23763.00000
SPFB.Si,D,20080403,000000,23725.00000,23828.00000,23720.00000,23732.00000
SPFB.Si,D,20080404,000000,23716.00000,23720.00000,23625.00000,23664.00000
SPFB.Si,D,20080407,000000,23704.00000,23732.00000,23646.00000,23664.00000
SPFB.Si,D,20080408,000000,23686.00000,23686.00000,23600.00000,23655.00000
SPFB.Si,D,20080409,000000,23635.00000,23663.00000,23615.00000,23636.00000
SPFB.Si,D,20080410,000000,23575.00000,23583.00000,23514.00000,23567.00000
SPFB.Si,D,20080411,000000,23594.00000,23614.00000,23535.00000,23550.00000
SPFB.Si,D,20080414,000000,23606.00000,23620.00000,23511.00000,23554.00000
SPFB.Si,D,20080415,000000,23575.00000,23600.00000,23525.00000,23588.00000
SPFB.Si,D,20080416,000000,23542.00000,23558.00000,23444.00000,23464.00000
SPFB.Si,D,20080417,000000,23460.00000,23528.00000,23420.00000,23490.00000
SPFB.Si,D,20080418,000000,23460.00000,23633.00000,23442.00000,23623.00000
SPFB.Si,D,20080421,000000,23580.00000,23580.00000,23432.00000,23465.00000
SPFB.Si,D,20080422,000000,23495.00000,23520.00000,23412.00000,23432.00000
SPFB.Si,D,20080423,000000,23400.00000,23480.00000,23389.00000,23477.00000
SPFB.Si,D,20080424,000000,23501.00000,23620.00000,23484.00000,23608.00000
SPFB.Si,D,20080425,000000,23648.00000,23725.00000,23640.00000,23652.00000
SPFB.Si,D,20080428,000000,23642.00000,23700.00000,23581.00000,23700.00000
SPFB.Si,D,20080429,000000,23703.00000,23764.00000,23703.00000,23716.00000
SPFB.Si,D,20080430,000000,23712.00000,23767.00000,23702.00000,23740.00000
SPFB.Si,D,20080504,000000,23778.00000,23842.00000,23778.00000,23839.00000
SPFB.Si,D,20080505,000000,23800.00000,23839.00000,23785.00000,23790.00000
SPFB.Si,D,20080506,000000,23771.00000,23788.00000,23712.00000,23714.00000
SPFB.Si,D,20080507,000000,23773.00000,23857.00000,23750.00000,23830.00000
SPFB.Si,D,20080508,000000,23899.00000,23905.00000,23800.00000,23830.00000
SPFB.Si,D,20080512,000000,23858.00000,23864.00000,23775.00000,23778.00000
